"GPS.N","GPS.W","location","location.code","mooring","Hobo.present","Agency","depth","habitattype","year"
"28.513066","-80.539916","CC18","CC18",NA,"n","KSC",NA,NA,NA
"28.541026","-80.551062","CC19","CC19",NA,"n","KSC",NA,NA,NA
"28.573599","-80.557417","CC20","CC20",NA,"n","KSC",NA,NA,NA
"28.606557","-80.576373","CC21","CC21",NA,"n","KSC",NA,NA,NA
"28.631485","-80.598481","CC22","CC22",NA,"n","KSC",NA,NA,NA
"28.435175","-80.560133","CC3","CC3",NA,"n","KSC",NA,NA,NA
"28.447043","-80.527671","CC5","CC5",NA,"n","KSC",NA,NA,NA
"28.4119","-80.57003","CC6","CC6",NA,"n","KSC",NA,NA,NA
"28.42846","-80.5535","CC8","CC8",NA,"n","KSC",NA,NA,NA
"28.55781677","-80.45565022","CON1","CON1",NA,"n","KSC",NA,NA,NA
"28.56143834","-80.46931818","CON10","CON10",NA,"n","KSC",NA,NA,NA
"28.5651074","-80.46671472","CON11","CON11",NA,"n","KSC",NA,NA,NA
"28.55273689","-80.45367672","CON2","CON2",NA,"n","KSC",NA,NA,NA
"28.5477174","-80.45573708","CON3","CON3",NA,"n","KSC",NA,NA,NA
"28.54537","-80.4622","CON4","CON4",NA,"n","KSC",NA,NA,NA
"28.5470024","-80.46783658","CON5","CON5",NA,"n","KSC",NA,NA,NA
"28.54969834","-80.47322972","CON6","CON6",NA,"n","KSC",NA,NA,NA
"28.55399913","-80.47658931","CON7","CON7",NA,"n","KSC",NA,NA,NA
"28.55931208","-80.47736","CON8","CON8",NA,"n","KSC",NA,NA,NA
"28.56368756","-80.47273913","CON9","CON9",NA,"n","KSC",NA,NA,NA
"28.393","-80.48936","CS1","CS1",NA,"n","KSC",NA,NA,NA
"28.54435","-80.41487","CS10","CS10",NA,"n","KSC",NA,NA,NA
"28.41718","-80.47164","CS2","CS2",NA,"n","KSC",NA,NA,NA
"28.39787","-80.42409","CS3","CS3",NA,"n","KSC",NA,NA,NA
"28.52048","-80.51404","CS4","CS4",NA,"n","KSC",NA,NA,NA
"28.49841","-80.47406","CS5","CS5",NA,"n","KSC",NA,NA,NA
"28.47628","-80.4349","CS6","CS6",NA,"n","KSC",NA,NA,NA
"28.60944","-80.55479","CS7","CS7",NA,"n","KSC",NA,NA,NA
"28.58601","-80.50583","CS8","CS8",NA,"n","KSC",NA,NA,NA
"28.56384","-80.45915","CS9","CS9",NA,"n","KSC",NA,NA,NA
"28.40138","-80.45773","CSII Dredge Site","DRE8",NA,"n","KSC",NA,NA,"n"
"28.41118","-80.44027","DRE1","DRE1",NA,"n","KSC",NA,NA,NA
"28.40880406","-80.45045907","DRE11","DRE11",NA,"n","KSC",NA,NA,NA
"28.4088","-80.45046","DRE11","DRE11",NA,"n","KSC",NA,NA,"n"
"28.41254068","-80.44788133","DRE12","DRE12",NA,"n","KSC",NA,NA,NA
"28.40522","-80.43681","DRE2","DRE2",NA,"n","KSC",NA,NA,NA
"28.40011","-80.43485","DRE3","DRE3",NA,"n","KSC",NA,NA,NA
"28.39512338","-80.43693308","DRE4","DRE4",NA,"n","KSC",NA,NA,NA
"28.39274276","-80.44329609","DRE5","DRE5",NA,"n","KSC",NA,NA,NA
"28.39447512","-80.44898066","DRE6","DRE6",NA,"n","KSC",NA,NA,NA
"28.39713321","-80.4543518","DRE7","DRE7",NA,"n","KSC",NA,NA,NA
"28.40138","-80.45774","DRE8","DRE8",NA,"n","KSC",NA,NA,"n"
"28.40663","-80.45882","DRE9","DRE9",NA,"n","KSC",NA,NA,NA
"28.040444","-80.574492","IR13","IR13",NA,"n","KSC",NA,NA,NA
"27.93798","-80.51946","IR15","IR15",NA,"n","KSC",NA,NA,"n"
"27.85593","-80.48608","IR16","IR16",NA,"n","KSC",NA,NA,"n"
